Time,Message
27.77445,268.53
27.79531,275.99
27.80692,283.51
27.83399,291.05
27.83908,291.05
27.84486,298.62
27.85217,298.62
27.87517,306.18
27.90547,321.26
27.91283,321.26
27.92044,328.77
27.94187,334.99
27.9507,334.99
27.95422,334.99
27.97397,341.99
27.98143,347.43
27.98627,347.43
28.00906,354.35
28.01441,354.35
28.01931,354.35
28.02283,361.72
28.0488,369.06
28.05555,369.06
28.06254,376.37
28.08556,383.64
28.0946,383.64
28.09848,383.64
28.11779,390.89
28.12244,398.1
28.12737,398.1
28.13193,398.1
28.15595,405.28
28.15985,405.28
28.16434,412.42
28.16955,412.42
28.19048,419.54
28.19608,419.54
28.20048,426.62
28.20538,426.62
28.22779,433.68
28.23254,433.68
28.23652,433.68
28.24057,440.7
28.26374,447.69
28.2696,447.69
28.27465,447.69
28.29515,454.65
28.29967,454.65
28.30406,461.58
28.3091,461.58
28.33035,468.47
28.33534,468.47
28.34062,475.34
28.36337,482.17
28.3866,488.98
28.39148,488.98
28.39797,488.98
28.42055,502.49
28.42554,502.49
28.42978,502.49
28.43333,502.49
28.45179,509.2
28.4557,509.2
28.46257,515.88
28.49174,522.53
28.49603,522.53
28.51947,529.15
28.5232,535.74
28.52788,535.74
28.53477,535.74
28.55355,542.3
28.55871,542.3
28.56324,548.83
28.58761,555.33
28.59216,555.33
28.5963,555.33
28.59977,555.33
28.60421,561.79
28.62668,568.23
28.63224,568.23
28.63676,568.23
28.64052,574.64
28.6606,581.01
28.6813,587.36
28.70059,593.68
28.70584,593.68
28.73973,599.97
28.74406,606.22
28.74917,606.22
28.76926,612.45
28.77861,612.45
28.78569,618.65
28.80445,624.82
28.81291,624.82
28.83301,630.96
28.85239,637.06
28.86101,643.14
28.8658,643.14
28.88923,649.19
28.89711,649.19
28.90295,655.22
28.92757,661.21
28.9341,661.21
28.93806,661.21
28.94244,667.17
28.96224,673.1
28.96841,673.1
28.99038,679.01
29.01184,684.88
29.01756,684.88
29.02208,690.73
29.02779,690.73
29.05039,696.54
29.05858,696.54
29.06252,702.33
29.08317,708.09
29.08921,708.09
29.09754,708.09
29.11664,713.82
29.12104,719.52
29.14265,725.19
29.16382,730.83
29.16887,730.83
29.17364,730.83
29.17867,730.83
29.1981,736.45
29.20279,742.03
29.2082,742.03
29.21272,742.03
29.24021,753.12
29.24526,753.12
29.24937,753.12
29.2691,758.62
29.27359,758.62
29.2924,764.09
29.31254,769.53
29.3179,769.53
29.32176,774.95
29.32683,774.95
29.34789,780.34
29.35247,780.34
29.35642,780.34
29.38148,791.02
29.38645,791.02
29.39437,791.02
29.41327,796.32
29.41798,796.32
29.42204,801.6
29.42735,801.6
29.44925,806.84
29.47034,812.06
29.50373,822.41
29.51147,822.41
29.51515,822.41
29.54619,832.65
29.55827,832.65
29.57736,837.73
29.58573,842.78
29.59217,842.78
29.61526,847.8
29.62438,852.79
29.6334,852.79
29.6583,857.76
29.66266,862.7
29.66903,862.7
29.69046,867.61
29.69756,867.61
29.70166,872.49
29.72422,877.35
29.75599,882.17
29.7765,886.98
29.80842,896.49
29.81606,896.49
29.82354,901.21
29.84799,905.9
29.85276,905.9
29.85993,905.9
29.86531,910.57
29.88586,915.2
29.90543,919.81
29.92584,924.4
29.93439,924.4
29.94125,928.95
29.96097,933.48
29.96637,933.48
29.99546,937.98
29.99546,937.98
30.00106,942.45
30.00797,942.45
30.00797,942.45
30.03377,946.9
30.03377,946.9
30.04328,951.32
30.04328,951.32
30.07402,955.71
30.07402,955.71
30.09851,960.08
30.09851,960.08
30.1048,964.42
30.11023,964.42
30.11023,964.42
30.13245,968.73
30.13245,968.73
30.14063,973.01
30.14063,973.01
30.14727,973.01
30.14727,973.01
30.16754,977.27
30.16754,977.27
30.17331,977.27
30.17738,977.27
30.17738,977.27
30.18213,981.5
30.20537,985.71
30.20537,985.71
30.22572,989.88
30.22572,989.88
30.26269,998.16
30.26269,998.16
30.32373,1010.37
30.32373,1010.37
30.32373,1010.37
30.42588,1030.2
30.42588,1030.2
30.50287,1045.58
30.50287,1045.58
30.50287,1045.58
30.53366,1049.36
30.53366,1049.36
30.53366,1049.36
30.54051,1053.11
30.54051,1053.11
30.54051,1053.11
30.56204,1056.84
30.56204,1056.84
30.56204,1056.84
30.56892,1056.84
30.56892,1056.84
30.57516,1056.84
30.57516,1056.84
30.57516,1056.84
30.59691,1060.54
30.59691,1060.54
30.59691,1060.54
30.60249,1064.22
30.60249,1064.22
30.60919,1064.22
30.60919,1064.22
30.60919,1064.22
30.63052,1067.87
30.63052,1067.87
30.63052,1067.87
30.63721,1067.87
30.63721,1067.87
30.64253,1071.49
30.64253,1071.49
30.6619,1075.09
30.6619,1075.09
30.6619,1075.09
30.66845,1075.09
30.66845,1075.09
30.6727,1075.09
30.67598,1075.09
30.69584,1078.66
30.69584,1078.66
30.69584,1078.66
30.7014,1082.2
30.70673,1082.2
30.71103,1082.2
30.71103,1082.2
30.72949,1085.72
30.72949,1085.72
30.72949,1085.72
30.73509,1085.72
30.73509,1085.72
30.7397,1085.72
30.7397,1085.72
30.74415,1089.21
30.74415,1089.21
30.77728,1092.68
30.77728,1092.68
30.77728,1092.68
30.79952,1096.12
30.79952,1096.12
30.82033,1102.93
30.82033,1102.93
30.82033,1102.93
30.82033,1102.93
30.82799,1102.93
30.82799,1102.93
30.83293,1102.93
30.85196,1106.29
30.85196,1106.29
30.85196,1106.29
30.85196,1106.29
30.85826,1106.29
30.86233,1109.63
30.86233,1109.63
30.86718,1109.63
30.86718,1109.63
30.8871,1112.94
30.8871,1112.94
30.8871,1112.94
30.8871,1112.94
30.89388,1112.94
30.89902,1112.94
30.89902,1112.94
30.89902,1112.94
30.89902,1112.94
30.91349,1116.22
30.91349,1116.22
30.93624,1119.48
30.93624,1119.48
30.93624,1119.48
30.93624,1119.48
30.96033,1125.92
30.96033,1125.92
30.96033,1125.92
30.96033,1125.92
30.98338,1129.1
30.98338,1129.1
30.98338,1129.1
30.98338,1129.1
30.99011,1129.1
30.99545,1129.1
30.99545,1129.1
31.01624,1132.26
31.01624,1132.26
31.01624,1132.26
31.02191,1135.39
31.02191,1135.39
31.02835,1135.39
31.02835,1135.39
31.03258,1135.39
31.03258,1135.39
31.05222,1138.5
31.05222,1138.5
31.05222,1138.5
31.05222,1138.5
31.05853,1138.5
31.06306,1141.58
31.06306,1141.58
31.06811,1141.58
31.08686,1144.63
31.08686,1144.63
31.08686,1144.63
31.08686,1144.63
31.09372,1144.63
31.09372,1144.63
31.09825,1144.63
31.10229,1147.66
31.10229,1147.66
31.12231,1150.66
31.12231,1150.66
31.12231,1150.66
31.12231,1150.66
31.12867,1150.66
31.13304,1150.66
31.13304,1150.66
31.13777,1150.66
31.1563,1153.64
31.1563,1153.64
31.1563,1153.64
31.1563,1153.64
31.16296,1156.59
31.16897,1156.59
31.16897,1156.59
31.17307,1156.59
31.19135,1159.51
31.19135,1159.51
31.19135,1159.51
31.19135,1159.51
31.20963,1162.41
31.23109,1165.29
31.23109,1165.29
31.23109,1165.29
31.23109,1165.29
31.23109,1165.29
31.23891,1165.29
31.23891,1165.29
31.2599,1168.14
31.2599,1168.14
31.2599,1168.14
31.2599,1168.14
31.2599,1168.14
31.28705,1173.76
31.28705,1173.76
31.28705,1173.76
31.28705,1173.76
31.28705,1173.76
31.31411,1176.53
31.31411,1176.53
31.31411,1176.53
31.31411,1176.53
31.32064,1179.28
31.32064,1179.28
31.32559,1179.28
31.32951,1179.28
31.34807,1182
31.34807,1182
31.34807,1182
31.34807,1182
31.34807,1182
31.34807,1182
31.35566,1182
31.36018,1184.69
31.36018,1184.69
31.36507,1184.69
31.36507,1184.69
31.38446,1187.36
31.38446,1187.36
31.38446,1187.36
31.38446,1187.36
31.38446,1187.36
31.38446,1187.36
31.39237,1187.36
31.41232,1190.01
31.41232,1190.01
31.41232,1190.01
31.41232,1190.01
31.41232,1190.01
31.41232,1190.01
31.41232,1190.01
31.41232,1190.01
31.44421,1195.22
31.44421,1195.22
31.44421,1195.22
31.44421,1195.22
31.44421,1195.22
31.44421,1195.22
31.44421,1195.22
31.4567,1195.22
31.4567,1195.22
31.4567,1195.22
31.47882,1197.79
31.47882,1197.79
31.47882,1197.79
31.47882,1197.79
31.47882,1197.79
31.47882,1197.79
31.48643,1200.34
31.48643,1200.34
31.49207,1200.34
31.49207,1200.34
31.51267,1202.86
31.51267,1202.86
31.51267,1202.86
31.51267,1202.86
31.51267,1202.86
31.51267,1202.86
31.51267,1202.86
31.52089,1205.35
31.52089,1205.35
31.52699,1205.35
31.52699,1205.35
31.52699,1205.35
31.54574,1207.82
31.54574,1207.82
31.54574,1207.82
31.54574,1207.82
31.54574,1207.82
31.54574,1207.82
31.55296,1207.82
31.55296,1207.82
31.558,1207.82
31.56171,1210.26
31.56171,1210.26
31.58655,1212.68
31.58655,1212.68
31.58655,1212.68
31.58655,1212.68
31.58655,1212.68
31.58655,1212.68
31.6209,1217.44
31.6209,1217.44
31.6209,1217.44
31.6209,1217.44
31.6209,1217.44
31.6209,1217.44
31.62926,1217.44
31.62926,1217.44
31.64813,1219.78
31.64813,1219.78
31.64813,1219.78
31.64813,1219.78
31.64813,1219.78
31.64813,1219.78
31.65491,1219.78
31.65491,1219.78
31.65948,1219.78
31.66284,1222.1
31.68229,1224.39
31.68229,1224.39
31.68229,1224.39
31.68229,1224.39
31.68229,1224.39
31.68229,1224.39
31.68229,1224.39
31.68964,1224.39
31.69375,1224.39
31.69375,1224.39
31.69794,1224.39
31.72044,1228.9
31.72044,1228.9
31.72044,1228.9
31.72044,1228.9
31.72044,1228.9
31.72044,1228.9
31.72044,1228.9
31.72044,1228.9
31.72873,1228.9
31.733,1228.9
31.7525,1231.12
31.7525,1231.12
31.7525,1231.12
31.7525,1231.12
31.7525,1231.12
31.7525,1231.12
31.7525,1231.12
31.7525,1231.12
31.76324,1233.31
31.76324,1233.31
31.76324,1233.31
